pin,slack
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_XDATAIN[5],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_XDATAIN[6],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_XDATAIN[7],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FPGA_MDDR_ARESET_N,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FPGA_RESET_N,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F_ARADDR_HADDR1[0],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F_ARADDR_HADDR1[10],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F_ARADDR_HADDR1[11],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F_ARADDR_HADDR1[12],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F_ARADDR_HADDR1[13],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F_ARADDR_HADDR1[14],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F_ARADDR_HADDR1[15],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F_ARADDR_HADDR1[16],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F_ARADDR_HADDR1[17],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F_ARADDR_HADDR1[18],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F_ARADDR_HADDR1[19],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F_ARADDR_HADDR1[1],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F_ARADDR_HADDR1[20],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F_ARADDR_HADDR1[21],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F_ARADDR_HADDR1[22],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F_ARADDR_HADDR1[23],
