pin,slack
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_120:IPA,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/indelay[2]:ALn,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/indelay[2]:CLK,14072
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/indelay[2]:D,16242
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/indelay[2]:Q,14072
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_177:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_177:IPB,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_cnst_0_o3[3]:A,14068
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_cnst_0_o3[3]:B,14202
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_cnst_0_o3[3]:C,11694
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_cnst_0_o3[3]:Y,11694
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_287:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_287:IPB,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_0:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_4:A,13334
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_4:IPA,13334
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_4:IPB,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_3_4[4]:A,9676
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_3_4[4]:B,10610
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_3_4[4]:Y,9676
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_118:IPB,
mdr_COREI2C_C0_0/COREI2C_C0_0/BCLK_ff0_CFG1D_TEST1:A,
mdr_COREI2C_C0_0/COREI2C_C0_0/BCLK_ff0_CFG1D_TEST1:Y,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_204:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_204:IPB,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_204:IPC,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_85:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_85:IPB,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_117:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_117:IPB,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2[0]:ALn,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2[0]:CLK,14959
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2[0]:D,14187
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2[0]:Q,14959
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_97:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_247:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_247:IPB,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLKint_ff:ALn,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLKint_ff:CLK,11882
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLKint_ff:D,14332
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLKint_ff:Q,11882
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/framesync_write_proc.framesync16:A,13066
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/framesync_write_proc.framesync16:B,12694
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/framesync_write_proc.framesync16:C,13845
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/framesync_write_proc.framesync16:D,13877
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/framesync_write_proc.framesync16:Y,12694
COREI2C_C0_0/COREI2C_C0_0/g_seradr0_reg_bits.genblk1.seradr0apb[1]:ALn,
COREI2C_C0_0/COREI2C_C0_0/g_seradr0_reg_bits.genblk1.seradr0apb[1]:CLK,14842
COREI2C_C0_0/COREI2C_C0_0/g_seradr0_reg_bits.genblk1.seradr0apb[1]:D,16981
COREI2C_C0_0/COREI2C_C0_0/g_seradr0_reg_bits.genblk1.seradr0apb[1]:EN,13425
COREI2C_C0_0/COREI2C_C0_0/g_seradr0_reg_bits.genblk1.seradr0apb[1]:Q,14842
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PRDATA_3_1_0_wmux[4]:A,13550
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PRDATA_3_1_0_wmux[4]:B,13497
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PRDATA_3_1_0_wmux[4]:C,15158
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PRDATA_3_1_0_wmux[4]:CC,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PRDATA_3_1_0_wmux[4]:D,15086
